filename,cluster_label,shannon_index
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181003_000000_segment_1995.wav,7,3.8800902
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181003_000000_segment_1990.wav,7,3.8790696
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180929_000000_segment_6308.wav,7,3.618733
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181002_000000_segment_1150.wav,7,3.553612
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181002_000000_segment_1147.wav,7,3.5657449
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5172.wav,35,5.0342216
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5130.wav,35,5.432985
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5154.wav,35,5.363269
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_7981.wav,35,4.900415
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_8098.wav,35,4.885998
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_67.wav,56,5.2626677
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_60.wav,56,5.432948
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_244.wav,56,5.372756
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5516.wav,56,5.755582
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_7544.wav,56,4.8403754
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5871.wav,75,5.2906494
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5874.wav,75,5.324991
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5872.wav,75,5.313732
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5870.wav,75,5.2903085
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20180930_000000_segment_5869.wav,75,5.323654
