filename,top_labels
nn01a_20180929_000000_segment_1.wav,"[(np.str_('""Owl""'), 0.16772626340389252), (np.str_('""Animal""'), 0.08727913349866867), (np.str_('""Vehicle""'), 0.08582846075296402), (np.str_('""Frog""'), 0.06529398262500763), (np.str_('""Insect""'), 0.05418149009346962)]"
nn01a_20180929_000000_segment_10.wav,"[(np.str_('""Frog""'), 0.3009321689605713), (np.str_('""Helicopter""'), 0.14810049533843994), (np.str_('""Vehicle""'), 0.07524286210536957), (np.str_('""Animal""'), 0.07211702316999435), (np.str_('""Cricket""'), 0.05636773258447647)]"
nn01a_20180929_000000_segment_100.wav,"[(np.str_('""Animal""'), 0.21524859964847565), (np.str_('""Owl""'), 0.2128726989030838), (np.str_('""Cricket""'), 0.162766233086586), (np.str_('""Insect""'), 0.15011148154735565), (np.str_('""Frog""'), 0.13440293073654175)]"
nn01a_20180929_000000_segment_1000.wav,"[(np.str_('""Insect""'), 0.5206542611122131), (np.str_('""Cricket""'), 0.4930315315723419), (np.str_('""Animal""'), 0.11595705896615982), (np.str_('""Frog""'), 0.10863658785820007), (np.str_('""Outside'), 0.06396300345659256)]"
nn01a_20180929_000000_segment_1001.wav,"[(np.str_('""Cricket""'), 0.417933851480484), (np.str_('""Insect""'), 0.4104585647583008), (np.str_('""Frog""'), 0.25817185640335083), (np.str_('""Animal""'), 0.1459011435508728), (np.str_('""Horse""'), 0.035924267023801804)]"
nn01a_20180929_000000_segment_1002.wav,"[(np.str_('""Cricket""'), 0.5532217621803284), (np.str_('""Insect""'), 0.5492081642150879), (np.str_('""Frog""'), 0.15251058340072632), (np.str_('""Animal""'), 0.0916573628783226), (np.str_('""Outside'), 0.039257582277059555)]"
nn01a_20180929_000000_segment_1003.wav,"[(np.str_('""Insect""'), 0.46779564023017883), (np.str_('""Cricket""'), 0.4528527557849884), (np.str_('""Animal""'), 0.17402058839797974), (np.str_('""Horse""'), 0.07157814502716064), (np.str_('""Clip-clop""'), 0.06601054966449738)]"
nn01a_20180929_000000_segment_1004.wav,"[(np.str_('""Cricket""'), 0.39071351289749146), (np.str_('""Insect""'), 0.3829481899738312), (np.str_('""Animal""'), 0.32653379440307617), (np.str_('""Horse""'), 0.11843616515398026), (np.str_('""Clip-clop""'), 0.09336408972740173)]"
nn01a_20180929_000000_segment_1005.wav,"[(np.str_('""Insect""'), 0.3629648983478546), (np.str_('""Cricket""'), 0.3417198956012726), (np.str_('""Animal""'), 0.3100334405899048), (np.str_('""Horse""'), 0.13815028965473175), (np.str_('""Clip-clop""'), 0.11604898422956467)]"
nn01a_20180929_000000_segment_1006.wav,"[(np.str_('""Animal""'), 0.2891831398010254), (np.str_('""Horse""'), 0.18273797631263733), (np.str_('""Insect""'), 0.1799599677324295), (np.str_('""Cricket""'), 0.17836211621761322), (np.str_('""Clip-clop""'), 0.12250293791294098)]"
nn01a_20180929_000000_segment_1007.wav,"[(np.str_('""Animal""'), 0.3067072927951813), (np.str_('""Insect""'), 0.22551044821739197), (np.str_('""Cricket""'), 0.1989799588918686), (np.str_('""Horse""'), 0.16776365041732788), (np.str_('""Clip-clop""'), 0.12553730607032776)]"
