filename,cluster_label,shannon_index
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181002_000000_segment_6416.wav,7,4.6919923
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_6411.wav,7,4.691843
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181002_000000_segment_6422.wav,7,4.713318
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181002_000000_segment_6404.wav,7,4.752594
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_6446.wav,7,4.8040175
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_7923.wav,35,5.0709896
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_7932.wav,35,5.2362375
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_8378.wav,35,3.3854213
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181006_000000_segment_344.wav,35,5.220065
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181005_000000_segment_7925.wav,35,5.07277
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4188.wav,56,5.546941
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4195.wav,56,5.564742
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4169.wav,56,5.547529
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4172.wav,56,5.518447
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4199.wav,56,5.5462947
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4604.wav,75,2.0247974
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4602.wav,75,2.0497363
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4637.wav,75,2.388154
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4606.wav,75,2.0715275
C:\Users\alina\Desktop\Capstone Project\segmented_audio\nn01a_20181001_000000_segment_4630.wav,75,1.9376831
