cluster_label,0,1,2,3,meta_cluster
0,-0.29561704,-0.07444046,0.24100046,0.011826762,0
1,0.75946623,-0.31465414,-0.49214536,-1.1319294,1
2,0.077663206,-0.2097609,0.5629848,-1.1973826,0
3,-0.10299481,-0.2833011,0.37629455,-0.54704803,0
4,-0.61689967,0.7525348,-0.7377072,-0.35512552,3
5,-0.7840334,1.0363897,-1.0655304,-0.26723927,3
6,-0.96149755,1.0085849,-0.9961341,0.25992092,3
7,0.13966024,-1.1848811,3.0683076,-1.5590074,0
8,0.22472824,-1.328389,3.393712,-1.3137321,0
9,0.2793166,-1.2777166,3.5856202,-1.2300141,0
10,0.18635455,-0.7568146,1.164155,0.22736904,4
11,0.4093706,-1.188169,1.4766318,1.0788924,4
12,0.38353744,-1.2080046,1.5765692,0.89514726,4
13,0.6271894,-1.4495926,1.7801472,1.4090399,4
14,0.09255202,-0.25578958,0.0812123,-0.47549272,0
15,-0.88162947,1.2044264,-0.96209544,-0.04186308,3
16,5.3258224,0.19122161,-3.370218,-1.0087814,1
17,4.8971543,0.23942539,-3.1894855,-0.8577374,1
18,5.2362895,0.23719263,-3.092567,-0.860326,1
19,5.299016,0.28782314,-2.9003243,-0.77799094,1
20,5.0035415,-0.14002334,-2.7680538,-0.2674944,1
21,3.3838198,-0.049008593,-2.1883202,-0.11166472,1
22,3.749951,-0.06254685,-2.237066,-0.10405334,1
23,3.1908915,0.13602492,-1.7356403,0.11669547,1
24,2.8571515,0.04675459,-2.1283746,0.015439404,1
25,2.8701522,-0.0072441823,-2.2368786,-0.084707215,1
26,3.4010086,-0.12725648,-2.5408378,-0.24336424,1
27,2.7914436,-0.060955375,-2.323497,-0.025959944,1
28,2.609269,0.046156567,-2.1081107,0.009503708,1
29,2.360685,0.081323765,-1.8467605,0.0390848,1
30,2.4684901,0.29310042,-1.454706,0.2756541,1
31,2.490274,0.4493437,-1.1118364,0.46436352,1
32,2.4257271,0.18404499,-1.6624634,0.15514234,1
33,4.799519,-0.15718625,-2.670022,-0.26905537,1
34,4.0455384,0.20186524,-1.6507349,0.20811212,1
35,3.0955207,-0.6285605,-2.554716,-0.28671986,1
36,3.2745953,0.04135617,-1.9949516,-0.002846226,1
37,3.335966,0.32922557,-1.3560933,0.34519804,1
38,3.8273098,0.49470595,-1.072784,0.48141313,1
39,3.529643,-0.26475984,-2.616341,-0.4144361,1
40,3.908266,0.35150784,-1.3254492,0.35804343,1
41,3.1746917,-0.17776673,-2.3828201,-0.30179903,1
42,1.135972,-1.3239717,1.2352172,-1.7194294,0
43,1.1939265,-1.4743184,1.4588882,-1.7005007,0
44,0.9120739,-1.0069914,0.0006961981,-0.3832063,2
45,0.97655714,-0.96557313,0.030756122,-0.27346504,2
46,1.0049005,-1.1181638,-0.06009561,-0.20312434,2
47,1.0471107,-1.2258985,-0.11899509,0.047323078,2
48,0.8670712,-1.5057778,0.21162498,0.8422796,2
49,1.3295251,-1.4150276,-0.38576868,0.28416535,2
50,0.18806317,-0.790014,0.198603,0.59343827,2
51,-0.044512138,-0.28310016,-0.38365722,0.4190883,2
52,-0.43799725,0.15522018,-0.47487354,-0.0257809,3
53,-0.4253008,0.16416214,0.0031289565,-0.54975903,3
54,-0.2254752,-0.20942299,0.35577083,-0.38176998,0
55,-0.43415102,0.70063406,-1.0259106,-0.2875428,3
56,2.0596662,0.33113936,-2.836888,-0.7223152,1
57,2.9050763,0.27293628,-3.2978506,-0.89995,1
58,3.1230986,0.25823566,-3.1677046,-0.92363095,1
59,3.6033072,0.23690574,-3.332049,-0.97350657,1
60,1.5294191,0.66950476,-2.5423045,-0.646498,1
61,2.2396915,0.5624191,-2.520835,-0.52953833,1
62,2.9501476,0.30845407,-2.986716,-0.7850919,1
63,1.5136563,0.5692703,-2.4300725,-0.46661913,1
64,1.2793752,0.51056224,-2.5583482,-0.51725584,1
65,0.84352064,0.5731346,-2.3807998,-0.434213,1
66,0.5159749,0.6541219,-2.2311478,-0.34921506,1
67,0.49304026,0.7554772,-1.901408,-0.25758368,1
68,-0.017476924,0.84001267,-1.7690465,-0.22805235,3
69,-0.24809708,1.0140685,-1.4799193,-0.14038235,3
70,-0.28146255,0.90248084,-1.676015,-0.20449226,3
71,-0.23441513,0.8162283,-1.5451314,-0.19218442,3
72,-0.105899975,0.63889545,-1.3430059,-0.19523355,3
73,-0.24639864,0.66237336,-1.1715634,-0.20352869,3
74,-0.3544696,0.8391527,-1.5230553,-0.1482053,3
75,-0.5323388,0.8006195,-1.0929439,-0.15761997,3
